time,latitude,longitude,sv_used,hdop,pdop,vdop
2025-11-07T13:08:46.606068+00:00,58.42141183333333,15.5846755,22|15|13,2.97,3.13,1.00
2025-11-07T13:08:47.609961+00:00,58.42139066666667,15.584549166666667,22|15|13,2.97,3.13,1.00
2025-11-07T13:08:48.605775+00:00,58.42139733333333,15.584439666666666,22|15|13,2.97,3.13,1.00
2025-11-07T13:08:49.606887+00:00,58.42136983333333,15.584346833333333,22|15|13,2.97,3.13,1.00
2025-11-07T13:08:50.608092+00:00,58.421354,15.584256333333334,22|15|13,2.97,3.13,1.00
2025-11-07T13:08:51.610164+00:00,58.421345,15.584150333333334,22|15|13,2.97,3.13,1.00
2025-11-07T13:08:52.611095+00:00,58.421335666666664,15.584047166666666,22|15|13,2.97,3.13,1.00
2025-11-07T13:08:53.618330+00:00,58.42131933333334,15.583991166666667,22|19|15|13,7.27,16.48,14.79
2025-11-07T13:08:54.618182+00:00,58.4213225,15.5839655,22|01|19|15|24|13,1.41,2.72,2.32
2025-11-07T13:08:55.613162+00:00,58.4213305,15.583913,22|01|19|15|24|13,1.41,2.72,2.32
2025-11-07T13:08:56.606374+00:00,58.421324,15.583859,22|01|19|15|24|13,1.41,2.72,2.32
2025-11-07T13:08:57.608433+00:00,58.42132016666667,15.583804333333333,22|01|19|15|24|13,1.41,2.72,2.32
2025-11-07T13:08:58.609322+00:00,58.4213255,15.583756333333334,22|01|19|15|24|13,1.41,2.72,2.32
2025-11-07T13:08:59.616434+00:00,58.421326666666666,15.583673,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:00.610445+00:00,58.42131916666666,15.5835955,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:01.616552+00:00,58.421316,15.583504166666666,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:02.610513+00:00,58.4213105,15.5834135,22|19|17|15|24|13,2.13,6.42,6.05
2025-11-07T13:09:03.609571+00:00,58.421309666666666,15.583315833333334,22|19|17|15|24|13,2.13,6.42,6.06
2025-11-07T13:09:04.609586+00:00,58.4213115,15.583224,22|19|17|15|24|13,2.14,6.43,6.07
2025-11-07T13:09:05.614703+00:00,58.42131533333333,15.58314,22|19|17|15|24|13,2.14,6.44,6.07
2025-11-07T13:09:06.606866+00:00,58.42130733333333,15.583074166666666,22|19|17|15|24|13,2.14,6.44,6.08
