time,target_ids,target_ranges,target_speeds,bin_target_speeds
2025-11-07T13:10:13.065308+00:00,"[128, 0, 0, 0, 0, 0]","[106, 0, 0, 0, 0, 0]","[4.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010001', '', '', '', '', '']"
2025-11-07T13:10:13.211548+00:00,"[128, 0, 0, 0, 0, 0]","[106, 0, 0, 0, 0, 0]","[4.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010001', '', '', '', '', '']"
2025-11-07T13:10:13.309047+00:00,"[128, 0, 0, 0, 0, 0]","[105, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
2025-11-07T13:10:13.455299+00:00,"[128, 0, 0, 0, 0, 0]","[105, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
2025-11-07T13:10:13.552792+00:00,"[128, 0, 0, 0, 0, 0]","[104, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
2025-11-07T13:10:13.699079+00:00,"[128, 0, 0, 0, 0, 0]","[104, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
2025-11-07T13:10:13.796549+00:00,"[128, 0, 0, 0, 0, 0]","[103, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
2025-11-07T13:10:13.942800+00:00,"[128, 0, 0, 0, 0, 0]","[103, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
2025-11-07T13:10:14.089065+00:00,"[128, 0, 0, 0, 0, 0]","[102, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
2025-11-07T13:10:14.186552+00:00,"[128, 0, 0, 0, 0, 0]","[102, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
