time,duration
2025-11-02T12:11:03.143129+00:00,0.15256285667419434
2025-11-02T12:12:13.639710+00:00,5.650520324707031e-05
2025-11-02T12:12:13.639766+00:00,1.0728836059570312e-05
2025-11-02T12:12:13.643488+00:00,0.003701448440551758
2025-11-02T12:13:43.425749+00:00,0.137376070022583
2025-11-02T12:14:22.348003+00:00,0.05062603950500488
2025-11-02T12:14:22.484204+00:00,0.04678940773010254
2025-11-02T12:14:22.484245+00:00,1.3828277587890625e-05
2025-11-02T12:14:30.028802+00:00,0.07362484931945801
2025-11-02T12:14:30.138109+00:00,0.06978106498718262
2025-11-02T12:16:19.227321+00:00,0.0003714561462402344
2025-11-02T12:16:19.228121+00:00,0.0007355213165283203
2025-11-02T12:16:19.228297+00:00,5.9604644775390625e-05
2025-11-02T12:16:19.229081+00:00,0.0007491111755371094
2025-11-02T12:16:19.229909+00:00,0.0005269050598144531
2025-11-02T12:16:19.257916+00:00,0.02744293212890625
2025-11-02T12:16:19.441384+00:00,0.007343769073486328
2025-11-02T12:16:34.131786+00:00,0.03356766700744629
2025-11-02T12:16:35.924741+00:00,0.0010440349578857422
2025-11-02T12:16:35.924795+00:00,1.3589859008789062e-05
2025-11-02T12:17:46.359288+00:00,2.5987625122070312e-05
2025-11-02T12:17:46.359335+00:00,1.049041748046875e-05
2025-11-02T12:17:46.359368+00:00,1.3589859008789062e-05
2025-11-02T12:17:46.543292+00:00,0.18390512466430664
2025-11-02T12:17:46.559599+00:00,0.015295267105102539
2025-11-02T12:17:46.740783+00:00,0.17758822441101074
2025-11-02T12:17:46.758676+00:00,0.01785898208618164
2025-11-02T12:17:47.439479+00:00,0.6642134189605713
2025-11-02T12:17:47.467369+00:00,0.006984233856201172
2025-11-02T12:17:47.471155+00:00,0.0037593841552734375
2025-11-02T12:17:47.508202+00:00,0.0026912689208984375
2025-11-02T12:17:47.528629+00:00,0.018178701400756836
2025-11-02T12:17:47.561032+00:00,0.011921882629394531
2025-11-02T12:17:47.643060+00:00,0.0813751220703125
2025-11-02T12:17:47.690276+00:00,0.003730297088623047
2025-11-02T12:17:47.705342+00:00,0.013582706451416016
2025-11-02T12:17:47.726806+00:00,0.012413501739501953
