time,latitude,longitude
2025-11-02T11:55:03.186350+00:00,58.41972,15.5821285
2025-11-02T11:55:04.185922+00:00,58.419724,15.582131
2025-11-02T11:55:05.185976+00:00,58.41972533333333,15.582134666666667
2025-11-02T11:55:06.182224+00:00,58.419732,15.582136166666666
2025-11-02T11:55:07.185963+00:00,58.419738333333335,15.5821385
2025-11-02T11:55:08.180122+00:00,58.41975083333333,15.58214
2025-11-02T11:55:09.185151+00:00,58.419764,15.582135833333334
2025-11-02T11:55:10.183223+00:00,58.41977383333333,15.5821345
2025-11-02T11:55:11.187294+00:00,58.419778,15.582132
2025-11-02T11:55:12.183383+00:00,58.41978016666667,15.582130166666667
2025-11-02T11:55:13.186457+00:00,58.419784166666666,15.582129
2025-11-02T11:55:14.184496+00:00,58.419787666666664,15.582126333333333
2025-11-02T11:55:15.185597+00:00,58.41978683333333,15.582124666666667
2025-11-02T11:55:16.184549+00:00,58.41978916666667,15.582124166666667
2025-11-02T11:55:17.187473+00:00,58.419786,15.582126166666667
2025-11-02T11:55:18.185566+00:00,58.41978566666667,15.582126166666667
2025-11-02T11:55:19.183717+00:00,58.419787666666664,15.582128666666666
2025-11-02T11:55:20.185575+00:00,58.41978916666667,15.582130666666666
2025-11-02T11:55:21.186693+00:00,58.41979216666667,15.582133666666667
2025-11-02T11:55:22.184770+00:00,58.419791833333335,15.582134
2025-11-02T11:55:23.184793+00:00,58.4197885,15.582133833333334
2025-11-02T11:55:24.184125+00:00,58.41979633333333,15.582135
2025-11-02T11:55:25.186905+00:00,58.419799166666664,15.5821365
2025-11-02T11:55:26.183297+00:00,58.41979833333333,15.582137666666666
2025-11-02T11:55:27.189081+00:00,58.419799833333336,15.582139
2025-11-02T11:55:28.183052+00:00,58.4197995,15.582137833333332
2025-11-02T11:55:29.185216+00:00,58.41979583333333,15.582140166666667
2025-11-02T11:55:30.181290+00:00,58.419794333333336,15.582142666666666
2025-11-02T11:55:31.186136+00:00,58.419794,15.582142666666666
2025-11-02T11:55:32.184262+00:00,58.41979583333333,15.5821435
2025-11-02T11:55:33.186306+00:00,58.419798666666665,15.582145666666667
2025-11-02T11:55:34.183338+00:00,58.41980316666667,15.582147
2025-11-02T11:55:35.187517+00:00,58.419808833333335,15.582147666666666
2025-11-02T11:55:36.185308+00:00,58.4198115,15.582148166666666
2025-11-02T11:55:37.185423+00:00,58.41981333333333,15.582148166666666
2025-11-02T11:55:38.185411+00:00,58.41981416666667,15.5821485
